"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L9931","void doublesNotEqual()","org.junit.tests.assertion.AssertionTest.doublesNotEqual()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","358","5","361","6","0","0","0","0","0","0","0","0","39.5098","4","213.212","35.6895","14","14","11.8451","53.303","127.637","74.6414","108.542","63.4749","1","0","0","0","1","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9932","void naNsAreEqual()","org.junit.tests.assertion.AssertionTest.naNsAreEqual()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","363","5","367","6","0","0","0","0","0","0","0","0","44.8289","7","765.751","83.6999","28","15","42.5417","109.393","120.283","70.3412","97.9332","57.2709","1","0","0","0","2","0","0","0","0","0","5","5","2","0","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9933","void nullNullmessage()","org.junit.tests.assertion.AssertionTest.nullNullmessage()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","369","5","377","6","0","0","0","0","0","0","0","0","56.1057","8.125","763.845","83.561","23","17","42.4358","94.0117","111.319","65.0989","85.1024","49.7675","2","1","1","0","3","0","0","0","0","0","9","9","4","0","9","9","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9935","void nullWithMessage()","org.junit.tests.assertion.AssertionTest.nullWithMessage()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","379","5","387","6","0","0","0","0","0","0","0","0","59.7154","7.8","780.61","84.7792","24","18","43.3672","100.078","110.994","64.9088","84.6333","49.4932","2","1","1","0","3","0","0","0","0","0","9","9","4","0","9","9","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9936","void same()","org.junit.tests.assertion.AssertionTest.same()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","389","5","393","6","0","0","0","0","0","0","0","0","35.2193","10","609.444","71.8824","17","12","33.858","60.9444","123.325","72.1201","102.322","59.8373","1","0","0","0","1","0","0","0","0","0","5","5","2","0","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9937","void notSame()","org.junit.tests.assertion.AssertionTest.notSame()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","395","5","400","6","0","0","0","0","0","0","0","0","37.9742","8.33333","770.925","84.0765","25","13","42.8292","92.511","118.201","69.1236","94.9295","55.5143","1","0","0","0","1","0","0","0","0","0","6","6","3","0","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9939","void objectsNotSame()","org.junit.tests.assertion.AssertionTest.objectsNotSame()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","402","5","405","6","0","0","0","0","0","0","0","0","42.8086","5.5","397.869","54.0953","19","14","22.1038","72.3397","126.049","73.7128","106.251","62.1351","1","0","0","0","1","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9940","void objectsAreSame()","org.junit.tests.assertion.AssertionTest.objectsAreSame()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","407","5","411","6","0","0","0","0","0","0","0","0","46.0537","8.25","676.869","77.0909","21","15","37.6038","82.0447","121.779","71.216","100.091","58.533","1","0","0","0","1","0","0","0","0","0","5","5","2","0","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9941","void sameWithMessage()","org.junit.tests.assertion.AssertionTest.sameWithMessage()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","413","5","422","6","0","0","0","0","0","0","0","0","63.6155","7.58333","805.336","86.5602","25","19","44.7409","106.198","108.979","63.7301","81.7256","47.7927","2","1","1","0","3","0","0","0","0","0","10","10","4","0","10","10","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9942","void sameNullMessage()","org.junit.tests.assertion.AssertionTest.sameNullMessage()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","424","5","432","6","0","0","0","0","0","0","0","0","59.7154","7.8","780.61","84.7792","24","18","43.3672","100.078","110.994","64.9088","84.6333","49.4932","2","1","1","0","3","0","0","0","0","0","9","9","4","0","9","9","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9943","void notSameWithMessage()","org.junit.tests.assertion.AssertionTest.notSameWithMessage()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","434","5","443","6","0","0","0","0","0","0","0","0","81.0965","13.6","2001.39","158.814","33","22","111.188","147.161","107.282","62.7381","79.2782","46.3615","2","1","1","0","3","0","0","0","0","0","10","10","5","0","10","10","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9944","void notSameNullMessage()","org.junit.tests.assertion.AssertionTest.notSameNullMessage()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","445","5","454","6","0","0","0","0","0","0","0","0","77.4869","14.875","2090.74","163.506","32","21","116.152","140.554","107.521","62.8778","79.6229","46.5631","2","1","1","0","3","0","0","0","0","0","10","10","5","0","10","10","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9945","void nullMessage()","org.junit.tests.assertion.AssertionTest.nullMessage()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","456","5","464","6","0","0","0","0","0","0","0","0","47.7744","8","593.847","70.6507","19","15","32.9915","74.2309","114.456","66.9332","114.315","66.8509","2","1","1","0","2","0.111111","1","0","0.111111","1","8","9","3","0","8","9","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9946","void nullMessageDisappearsWithStringAssertEquals()","org.junit.tests.assertion.AssertionTest.nullMessageDisappearsWithStringAssertEquals()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","466","5","474","6","0","0","0","0","0","0","0","0","63.6155","7.58333","805.336","86.5602","25","19","44.7409","106.198","110.685","64.7283","84.188","49.2328","2","1","1","0","4","0","0","0","0","0","9","9","4","0","9","9","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9948","void nullMessageDisappearsWithAssertEquals()","org.junit.tests.assertion.AssertionTest.nullMessageDisappearsWithAssertEquals()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","476","5","484","6","0","0","0","0","0","0","0","0","63.6155","7.58333","805.336","86.5602","25","19","44.7409","106.198","110.685","64.7283","84.188","49.2328","2","1","1","0","3","0","0","0","0","0","9","9","4","0","9","9","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9949","void arraysDeclaredAsObjectAreComparedAsObjects()","org.junit.tests.assertion.AssertionTest.arraysDeclaredAsObjectAreComparedAsObjects()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","486","5","491","6","0","0","0","0","0","0","0","0","57.7052","7.07143","855.133","90.0926","29","18","47.5074","120.928","116.808","68.3091","92.92","54.3392","1","0","0","0","1","0","0","0","0","0","6","6","3","0","6","6","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9950","void implicitTypecastEquality()","org.junit.tests.assertion.AssertionTest.implicitTypecastEquality()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","493","5","509","6","0","0","0","0","0","0","0","0","106.606","14","4711.21","281.031","70","28","261.734","336.515","95.5971","55.9048","62.3185","36.4435","1","0","0","0","2","0","0","0","0","0","16","17","13","0","16","17","13","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9951","void errorMessageDistinguishesDifferentValuesWithSameToString()","org.junit.tests.assertion.AssertionTest.errorMessageDistinguishesDifferentValuesWithSameToString()V","L9604","L103","C:\Users\aheck\Documents\Repos\junit4\sourcefiles\src\test\java\org\junit\tests\assertion\AssertionTest.java","511","5","518","6","0","0","0","0","0","0","0","0","64.9126","8.4","892.065","92.6683","25","19","49.5592","106.198","112.593","65.8441","86.9408","50.8426","2","1","1","0","1","0","0","0","0","0","8","8","3","0","8","8","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
