"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L756","void infoBox(String infoMessage, String titleBar)","xmlChecker.SuiteStart.infoBox(Ljava/lang/String;Ljava/lang/String;)V","L717","L103","C:\Users\aheck\Documents\Repos\xml2\SuiteStart.java","105","5","108","6","0","0","0","0","0","0","0","0","40.139","6.3","455.74","59.2214","19","14","25.3189","72.3397","126.049","73.7128","106.251","62.1351","1","0","0","1","0","0","0","0","0","0","4","4","1","2","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L175","void run()","xmlChecker.BereinigungOnlinepartner$1.run()V","L169","L103","C:\Users\aheck\Documents\Repos\xml2\BereinigungOnlinepartner.java","71","4","81","5","1","1","2","1","1","1","11","11","107.748","17.5","4410.16","268.928","53","27","245.009","252.009","102.941","60.1993","73.0151","42.6989","2","1","1","0","1","0","0","0","0","0","11","11","7","0","11","11","7","0","0","8","0","0","0","0","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L274","void actionPerformed(ActionEvent arg0)","xmlChecker.BereinigungOnlinepartner$2.actionPerformed(Ljava/awt/event/ActionEvent;)V","L273","L103","C:\Users\aheck\Documents\Repos\xml2\BereinigungOnlinepartner.java","172","4","175","5","1","1","1","1","1","1","4","4","42.8086","5.5","376.928","52.1802","18","14","20.9405","68.5324","126.33","73.8772","106.657","62.3723","1","0","0","0","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","7","0","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L286","void actionPerformed(ActionEvent arg0)","xmlChecker.BereinigungOnlinepartner$3.actionPerformed(Ljava/awt/event/ActionEvent;)V","L285","L103","C:\Users\aheck\Documents\Repos\xml2\BereinigungOnlinepartner.java","179","4","200","5","0","0","0","0","0","0","0","0","132.571","4.69565","1197.39","112.761","51","32","66.5217","255","91.8805","53.7313","56.9566","33.3079","1","0","0","0","1","0","0","0","0","0","22","22","2","1","22","22","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L295","void actionPerformed(ActionEvent arg0)","xmlChecker.BereinigungOnlinepartner$4.actionPerformed(Ljava/awt/event/ActionEvent;)V","L294","L103","C:\Users\aheck\Documents\Repos\xml2\BereinigungOnlinepartner.java","206","4","210","5","0","0","0","0","0","0","0","0","58.5293","8","900.704","93.2656","27","18","50.0391","112.588","120.134","70.2536","97.7172","57.1446","1","0","0","0","1","0","0","0","0","0","5","5","3","1","5","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L308","void actionPerformed(ActionEvent arg0)","xmlChecker.BereinigungOnlinepartner$5.actionPerformed(Ljava/awt/event/ActionEvent;)V","L307","L103","C:\Users\aheck\Documents\Repos\xml2\BereinigungOnlinepartner.java","214","4","224","5","0","0","0","0","0","0","0","0","142.096","18.8182","6510.1","348.652","68","34","361.672","345.947","101.293","59.2359","70.6383","41.3089","2","1","1","0","1","0","0","0","0","0","11","11","8","1","11","11","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L330","void actionPerformed(ActionEvent arg0)","xmlChecker.BereinigungOnlinepartner$6.actionPerformed(Ljava/awt/event/ActionEvent;)V","L329","L103","C:\Users\aheck\Documents\Repos\xml2\BereinigungOnlinepartner.java","228","4","231","5","1","1","1","1","1","1","4","4","49.6634","6.6","554.4","67.4863","21","16","30.8","84","125.272","73.2584","105.13","61.4795","1","0","0","0","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","7","0","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L337","void actionPerformed(ActionEvent arg0)","xmlChecker.BereinigungOnlinepartner$7.actionPerformed(Ljava/awt/event/ActionEvent;)V","L336","L103","C:\Users\aheck\Documents\Repos\xml2\BereinigungOnlinepartner.java","235","4","238","5","1","1","1","1","1","1","4","4","49.6634","6.6","554.4","67.4863","21","16","30.8","84","125.272","73.2584","105.13","61.4795","1","0","0","0","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","7","0","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L344","void actionPerformed(ActionEvent arg0)","xmlChecker.BereinigungOnlinepartner$8.actionPerformed(Ljava/awt/event/ActionEvent;)V","L343","L103","C:\Users\aheck\Documents\Repos\xml2\BereinigungOnlinepartner.java","242","4","250","5","0","0","0","0","0","0","0","0","74.1131","10","1317.7","120.192","30","21","73.2053","131.77","111.472","65.188","110.01","64.3332","2","1","1","0","1","0.111111","1","0","0.111111","1","8","9","4","1","8","9","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L527","void run()","xmlChecker.LAChecker$1.run()V","L526","L103","C:\Users\aheck\Documents\Repos\xml2\LAChecker.java","66","4","77","5","0","0","0","0","0","0","0","0","123.693","19.7143","5900.89","326.546","61","30","327.827","299.32","100.637","58.8518","69.6908","40.7548","2","1","1","0","1","0","0","0","0","0","12","12","8","0","12","12","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L557","void actionPerformed(ActionEvent arg0)","xmlChecker.LAChecker$2.actionPerformed(Ljava/awt/event/ActionEvent;)V","L556","L103","C:\Users\aheck\Documents\Repos\xml2\LAChecker.java","215","4","218","5","1","1","1","1","1","1","4","4","42.8086","5.5","376.928","52.1802","18","14","20.9405","68.5324","126.33","73.8772","106.657","62.3723","1","0","0","0","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","7","0","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L562","void actionPerformed(ActionEvent arg0)","xmlChecker.LAChecker$3.actionPerformed(Ljava/awt/event/ActionEvent;)V","L561","L103","C:\Users\aheck\Documents\Repos\xml2\LAChecker.java","222","4","225","5","1","1","1","1","1","1","4","4","49.6634","6.6","554.4","67.4863","21","16","30.8","84","125.272","73.2584","105.13","61.4795","1","0","0","0","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","7","0","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L571","void actionPerformed(ActionEvent arg0)","xmlChecker.LAChecker$4.actionPerformed(Ljava/awt/event/ActionEvent;)V","L570","L103","C:\Users\aheck\Documents\Repos\xml2\LAChecker.java","229","4","232","5","1","1","1","1","1","1","4","4","49.6634","6.6","554.4","67.4863","21","16","30.8","84","125.272","73.2584","105.13","61.4795","1","0","0","0","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","7","0","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L576","void actionPerformed(ActionEvent arg0)","xmlChecker.LAChecker$5.actionPerformed(Ljava/awt/event/ActionEvent;)V","L575","L103","C:\Users\aheck\Documents\Repos\xml2\LAChecker.java","237","4","251","5","1","1","3","1","1","1","15","14","190.226","27.5","13642.6","570.949","92","42","757.92","496.093","95.2821","55.7205","62.0676","36.2969","3","1","1","0","1","0","0","0","0","0","14","15","10","1","14","15","10","0","0","8","0","0","0","0","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L585","void actionPerformed(ActionEvent arg0)","xmlChecker.LAChecker$6.actionPerformed(Ljava/awt/event/ActionEvent;)V","L584","L103","C:\Users\aheck\Documents\Repos\xml2\LAChecker.java","255","4","269","5","1","1","3","1","1","1","15","14","190.226","27.5","13642.6","570.949","92","42","757.92","496.093","95.2821","55.7205","62.0676","36.2969","3","1","1","0","1","0","0","0","0","0","14","15","10","1","14","15","10","0","0","8","0","0","0","0","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L590","void actionPerformed(ActionEvent arg0)","xmlChecker.LAChecker$7.actionPerformed(Ljava/awt/event/ActionEvent;)V","L589","L103","C:\Users\aheck\Documents\Repos\xml2\LAChecker.java","274","4","282","5","0","0","0","0","0","0","0","0","82.6034","10.3125","1726.02","143.89","37","23","95.8901","167.372","108.32","63.3449","80.7753","47.237","2","1","1","0","1","0","0","0","0","0","9","9","5","1","9","9","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L597","void actionPerformed(ActionEvent e)","xmlChecker.LAChecker$8.actionPerformed(Ljava/awt/event/ActionEvent;)V","L596","L103","C:\Users\aheck\Documents\Repos\xml2\LAChecker.java","288","4","295","5","0","0","0","0","0","0","0","0","72.9545","9","1225.46","114.516","31","21","68.0809","136.162","111.301","65.0883","85.0763","49.7522","2","1","1","0","1","0","0","0","0","0","8","8","4","1","8","8","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L604","void actionPerformed(ActionEvent arg0)","xmlChecker.LAChecker$9.actionPerformed(Ljava/awt/event/ActionEvent;)V","L603","L103","C:\Users\aheck\Documents\Repos\xml2\LAChecker.java","301","4","310","5","0","0","0","0","0","0","0","0","68.8127","9.33333","1250.48","116.069","31","20","69.471","133.98","111.385","65.1375","109.885","64.2602","2","1","1","0","1","0.111111","1","0","0.111111","1","8","10","4","1","8","10","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L723","void run()","xmlChecker.SuiteStart$1.run()V","L722","L103","C:\Users\aheck\Documents\Repos\xml2\SuiteStart.java","31","4","42","5","1","1","2","1","1","1","12","11","107.748","17.5","4410.16","268.928","53","27","245.009","252.009","102.941","60.1993","94.6378","55.3438","2","1","1","0","1","0.0833333","1","0","0.0833333","1","11","12","7","0","11","12","7","0","0","8","0","0","0","0","0","6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L742","void actionPerformed(ActionEvent arg0)","xmlChecker.SuiteStart$2.actionPerformed(Ljava/awt/event/ActionEvent;)V","L741","L103","C:\Users\aheck\Documents\Repos\xml2\SuiteStart.java","77","4","80","5","0","0","0","0","0","0","0","0","40.0537","5.5","345.991","49.2845","17","13","19.2217","62.9075","126.775","74.1376","107.299","62.7481","1","0","0","0","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L748","void actionPerformed(ActionEvent arg0)","xmlChecker.SuiteStart$3.actionPerformed(Ljava/awt/event/ActionEvent;)V","L747","L103","C:\Users\aheck\Documents\Repos\xml2\SuiteStart.java","87","4","90","5","0","0","0","0","0","0","0","0","40.0537","5.5","345.991","49.2845","17","13","19.2217","62.9075","126.775","74.1376","107.299","62.7481","1","0","0","0","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L754","void actionPerformed(ActionEvent arg0)","xmlChecker.SuiteStart$4.actionPerformed(Ljava/awt/event/ActionEvent;)V","L753","L103","C:\Users\aheck\Documents\Repos\xml2\SuiteStart.java","97","4","99","5","0","0","0","0","0","0","0","0","23.5098","3","99.6578","21.4952","10","10","5.53655","33.2193","134.756","78.8048","118.813","69.4813","1","0","0","0","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
