"Category";"Group";"Type";"Message";"Location";"Assessment";"Since";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/MethodValidator.java:32-32";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/MethodValidator.java:55-55";"YELLOW";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Throw of generic exception in Java";"Throw of generic exception Exception";"sourcefiles/src/main/java/org/junit/internal/runners/SuiteMethod.java:33-33";"RED";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/SuiteMethod.java:27-27";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/SuiteMethod.java:23-23";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/TestClass.java:42-42";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/TestClass.java:26-26";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid leaving deprecated classes / methods / fields";"Type `TestClass` is marked as `@Deprecated`";"sourcefiles/src/main/java/org/junit/internal/runners/TestClass.java:23-109";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid leaving deprecated classes / methods / fields";"Type `TestMethod` is marked as `@Deprecated`";"sourcefiles/src/main/java/org/junit/internal/runners/TestMethod.java:20-71";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/TestMethod.java:24-24";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/TestMethod.java:67-67";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/TestMethod.java:33-33";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/model/EachTestNotifier.java:34-34";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/model/EachTestNotifier.java:46-46";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/model/EachTestNotifier.java:14-14";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/model/EachTestNotifier.java:42-42";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/model/EachTestNotifier.java:9-9";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/model/EachTestNotifier.java:38-38";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/model/EachTestNotifier.java:19-19";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/model/MultipleFailureException.java:6-6";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid leaving deprecated classes / methods / fields";"Type `MultipleFailureException` is marked as `@Deprecated`";"sourcefiles/src/main/java/org/junit/internal/runners/model/MultipleFailureException.java:6-12";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/model/MultipleFailureException.java:9-9";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Class named like Exception should extend Exception or subclass";"`MultipleFailureException` should inherit from `Exception` or subclass";"sourcefiles/src/main/java/org/junit/internal/runners/model/MultipleFailureException.java:6-6";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/model/ReflectiveCallable.java:10-10";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid using ternary operators";"Avoid using ternary operators";"sourcefiles/src/main/java/org/junit/internal/runners/rules/RuleFieldValidator.java:104-104";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid using ternary operators";"Avoid using ternary operators";"sourcefiles/src/main/java/org/junit/internal/runners/rules/RuleFieldValidator.java:65-65";"YELLOW";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Throwable`";"sourcefiles/src/main/java/org/junit/internal/runners/statements/ExpectException.java:23-30";"RED";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/statements/ExpectException.java:10-10";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/statements/ExpectException.java:6-6";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Class named like Exception should extend Exception or subclass";"`ExpectException` should inherit from `Exception` or subclass";"sourcefiles/src/main/java/org/junit/internal/runners/statements/ExpectException.java:6-6";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/statements/Fail.java:8-8";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/statements/Fail.java:5-5";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid using ternary operators";"Avoid using ternary operators";"sourcefiles/src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java:140-140";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java:31-31";"YELLOW";"default@1590680627101";
"Code Anomalies";"Formatting";"Code Anomalies/Missing braces for block statements";"for statement without braces";"sourcefiles/src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java:183-183";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: catch";"sourcefiles/src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java:198-199";"YELLOW";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Exception`";"sourcefiles/src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java:208-210";"RED";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java:27-27";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Using threads is forbidden for Java EE containers";"Thread.start() should not be used";"sourcefiles/src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java:44-44";"YELLOW";"default@1590680627101";
"Code Anomalies";"Formatting";"Code Anomalies/Missing braces for block statements";"if statement without braces";"sourcefiles/src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java:118-118";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java:23-23";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java:205-205";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java:16-16";"YELLOW";"default@1590680627101";
"Code Anomalies";"Formatting";"Code Anomalies/Missing braces for block statements";"if statement without braces";"sourcefiles/src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java:121-121";"YELLOW";"default@1590680627101";
"Code Anomalies";"Formatting";"Code Anomalies/Missing braces for block statements";"if statement without braces";"sourcefiles/src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java:160-160";"YELLOW";"default@1590680627101";
"Code Anomalies";"Formatting";"Code Anomalies/Missing braces for block statements";"if statement without braces";"sourcefiles/src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java:165-165";"YELLOW";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Throwable`";"sourcefiles/src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java:210-212";"RED";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid using ternary operators";"Avoid using ternary operators";"sourcefiles/src/main/java/org/junit/internal/runners/statements/FailOnTimeout.java:75-75";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/statements/InvokeMethod.java:6-6";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/statements/InvokeMethod.java:10-10";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/statements/RunAfters.java:10-10";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/statements/RunAfters.java:17-17";"YELLOW";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Throwable`";"sourcefiles/src/main/java/org/junit/internal/runners/statements/RunAfters.java:34-36";"RED";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Throwable`";"sourcefiles/src/main/java/org/junit/internal/runners/statements/RunAfters.java:28-30";"RED";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/statements/RunBefores.java:15-15";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/internal/runners/statements/RunBefores.java:8-8";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid leaving deprecated classes / methods / fields";"Method `containsString` is marked as `@Deprecated`";"sourcefiles/src/main/java/org/junit/matchers/JUnitMatchers.java:68-70";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid leaving deprecated classes / methods / fields";"Method `everyItem` is marked as `@Deprecated`";"sourcefiles/src/main/java/org/junit/matchers/JUnitMatchers.java:59-61";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid leaving deprecated classes / methods / fields";"Method `either` is marked as `@Deprecated`";"sourcefiles/src/main/java/org/junit/matchers/JUnitMatchers.java:94-96";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid leaving deprecated classes / methods / fields";"Method `hasItem` is marked as `@Deprecated`";"sourcefiles/src/main/java/org/junit/matchers/JUnitMatchers.java:21-23";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid leaving deprecated classes / methods / fields";"Method `hasItems` is marked as `@Deprecated`";"sourcefiles/src/main/java/org/junit/matchers/JUnitMatchers.java:39-41";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid leaving deprecated classes / methods / fields";"Method `hasItem` is marked as `@Deprecated`";"sourcefiles/src/main/java/org/junit/matchers/JUnitMatchers.java:30-32";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid leaving deprecated classes / methods / fields";"Method `both` is marked as `@Deprecated`";"sourcefiles/src/main/java/org/junit/matchers/JUnitMatchers.java:81-83";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid leaving deprecated classes / methods / fields";"Method `hasItems` is marked as `@Deprecated`";"sourcefiles/src/main/java/org/junit/matchers/JUnitMatchers.java:50-52";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/rules/ErrorCollector.java:64-64";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Field could be final (Java)";"Field `errors` could be made final";"sourcefiles/src/main/java/org/junit/rules/ErrorCollector.java:35-35";"YELLOW";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Throwable`";"sourcefiles/src/main/java/org/junit/rules/ErrorCollector.java:79-82";"RED";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Comments should not contain nested comments";"Comment should not contain `//`";"sourcefiles/src/main/java/org/junit/rules/ErrorCollector.java:12-33";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid leaving deprecated classes / methods / fields";"Method `handleAssumptionViolatedExceptions` is marked as `@Deprecated`";"sourcefiles/src/main/java/org/junit/rules/ExpectedException.java:138-140";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/rules/ExpectedException.java:157-158";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid leaving deprecated classes / methods / fields";"Method `handleAssertionErrors` is marked as `@Deprecated`";"sourcefiles/src/main/java/org/junit/rules/ExpectedException.java:128-130";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: constructor";"sourcefiles/src/main/java/org/junit/rules/ExpectedException.java:119-120";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/rules/ExpectedException.java:232-232";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Class named like Exception should extend Exception or subclass";"`ExpectedException` should inherit from `Exception` or subclass";"sourcefiles/src/main/java/org/junit/rules/ExpectedException.java:106-106";"YELLOW";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Throwable`";"sourcefiles/src/main/java/org/junit/rules/ExpectedException.java:240-243";"RED";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Comments should not contain nested comments";"Comment should not contain `//`";"sourcefiles/src/main/java/org/junit/rules/ExpectedException.java:16-105";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/rules/ExternalResource.java:38-38";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/rules/RunRules.java:14-14";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: method";"sourcefiles/src/main/java/org/junit/rules/Stopwatch.java:109-110";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: method";"sourcefiles/src/main/java/org/junit/rules/Stopwatch.java:103-104";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `starting` are in wrong order";"sourcefiles/src/main/java/org/junit/rules/Stopwatch.java:167-167";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `finished` are in wrong order";"sourcefiles/src/main/java/org/junit/rules/Stopwatch.java:171-171";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: method";"sourcefiles/src/main/java/org/junit/rules/Stopwatch.java:91-92";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: method";"sourcefiles/src/main/java/org/junit/rules/Stopwatch.java:97-98";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Comments/Commented Out Code";"Commented Out Code";"sourcefiles/src/main/java/org/junit/rules/Stopwatch.java:8-75";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `skipped` are in wrong order";"sourcefiles/src/main/java/org/junit/rules/Stopwatch.java:162-162";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `failed` are in wrong order";"sourcefiles/src/main/java/org/junit/rules/Stopwatch.java:157-157";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Modifiers must be in the right order";"Modifiers of `succeeded` are in wrong order";"sourcefiles/src/main/java/org/junit/rules/Stopwatch.java:152-152";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/rules/TemporaryFolder.java:33-33";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Comments should not contain nested comments";"Comment should not contain `//`";"sourcefiles/src/main/java/org/junit/rules/TemporaryFolder.java:8-28";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/rules/TemporaryFolder.java:37-37";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: method";"sourcefiles/src/main/java/org/junit/rules/TestWatcher.java:138-139";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/rules/TestWatcher.java:47-47";"YELLOW";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Throwable`";"sourcefiles/src/main/java/org/junit/rules/TestWatcher.java:103-105";"RED";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: method";"sourcefiles/src/main/java/org/junit/rules/TestWatcher.java:144-145";"YELLOW";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Throwable`";"sourcefiles/src/main/java/org/junit/rules/TestWatcher.java:60-63";"RED";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: method";"sourcefiles/src/main/java/org/junit/rules/TestWatcher.java:126-127";"YELLOW";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Throwable`";"sourcefiles/src/main/java/org/junit/rules/TestWatcher.java:94-96";"RED";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Throwable`";"sourcefiles/src/main/java/org/junit/rules/TestWatcher.java:76-78";"RED";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: method";"sourcefiles/src/main/java/org/junit/rules/TestWatcher.java:120-121";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: method";"sourcefiles/src/main/java/org/junit/rules/TestWatcher.java:132-133";"YELLOW";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Throwable`";"sourcefiles/src/main/java/org/junit/rules/TestWatcher.java:112-114";"RED";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Throwable`";"sourcefiles/src/main/java/org/junit/rules/TestWatcher.java:85-87";"RED";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Throwable`";"sourcefiles/src/main/java/org/junit/rules/TestWatchman.java:57-60";"RED";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: method";"sourcefiles/src/main/java/org/junit/rules/TestWatchman.java:70-71";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: method";"sourcefiles/src/main/java/org/junit/rules/TestWatchman.java:82-83";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: method";"sourcefiles/src/main/java/org/junit/rules/TestWatchman.java:89-90";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid leaving deprecated classes / methods / fields";"Type `TestWatchman` is marked as `@Deprecated`";"sourcefiles/src/main/java/org/junit/rules/TestWatchman.java:45-91";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/rules/TestWatchman.java:46-47";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: method";"sourcefiles/src/main/java/org/junit/rules/TestWatchman.java:76-77";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/rules/Timeout.java:120-120";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid leaving deprecated classes / methods / fields";"Method `Timeout` is marked as `@Deprecated`";"sourcefiles/src/main/java/org/junit/rules/Timeout.java:58-60";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Comments should not contain nested comments";"Comment should not contain `//`";"sourcefiles/src/main/java/org/junit/rules/Verifier.java:6-29";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/rules/Verifier.java:31-31";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: method";"sourcefiles/src/main/java/org/junit/rules/Verifier.java:45-46";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid using ternary operators";"Avoid using ternary operators";"sourcefiles/src/main/java/org/junit/runner/Description.java:295-295";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid using ternary operators";"Avoid using ternary operators";"sourcefiles/src/main/java/org/junit/runner/Description.java:309-309";"YELLOW";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Exception`";"sourcefiles/src/main/java/org/junit/runner/FilterFactories.java:68-70";"RED";"default@1590680627101";
"Code Anomalies";"Unused variable or parameter";"Dataflow/Unused variable or parameter";"The value of parameter `description` is never used";"sourcefiles/src/main/java/org/junit/runner/FilterFactories.java:21-21";"YELLOW";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Catch of generic exception";"Catch clause catches generic exception `Exception`";"sourcefiles/src/main/java/org/junit/runner/FilterFactories.java:79-81";"RED";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/runner/FilterFactory.java:21-21";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/runner/FilterFactoryParams.java:3-3";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/runner/FilterFactoryParams.java:6-6";"YELLOW";"default@1590680627101";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 5";"sourcefiles/src/main/java/org/junit/runner/JUnitCommandLineParseResult.java:75-75";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Field could be final (Java)";"Field `parserErrors` could be made final";"sourcefiles/src/main/java/org/junit/runner/JUnitCommandLineParseResult.java:16-16";"YELLOW";"default@1590680627101";
"Documentation";"Comment completeness";"Comments/Missing Interface Comment";"Interface comment missing";"sourcefiles/src/main/java/org/junit/runner/JUnitCommandLineParseResult.java:140-140";"YELLOW";"default@1590680627101";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 5: 6";"sourcefiles/src/main/java/org/junit/runner/JUnitCommandLineParseResult.java:70-72";"RED";"default@1590680627101";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 3: 4";"sourcefiles/src/main/java/org/junit/runner/JUnitCommandLineParseResult.java:81-81";"YELLOW";"default@1590680627101";
"Structure";"Nesting Depth";"Metric Violations/Nesting Depth";"Violation of nesting depth threshold of 5: 6";"sourcefiles/src/main/java/org/junit/runner/JUnitCommandLineParseResult.java:68-68";"RED";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Empty blocks";"Empty block: constructor";"sourcefiles/src/main/java/org/junit/runner/JUnitCommandLineParseResult.java:21-21";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Field could be final (Java)";"Field `classes` could be made final";"sourcefiles/src/main/java/org/junit/runner/JUnitCommandLineParseResult.java:15-15";"YELLOW";"default@1590680627101";
"Structure";"Method Length";"Metric Violations/LSL";"Violation of method length threshold (source lines of code) of 30: 32";"sourcefiles/src/main/java/org/junit/runner/JUnitCommandLineParseResult.java:55-91";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Java unwanted method calls";"Method `System.exit` should not be called";"sourcefiles/src/main/java/org/junit/runner/JUnitCore.java:37-37";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid using ternary operators";"Avoid using ternary operators";"sourcefiles/src/main/java/org/junit/runner/JUnitCore.java:37-37";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Incorrect JavaDoc usage";"Incorrect JavaDoc Tags: `@param` - Pattern expected but not observed: `@param <parameter name> <text>`";"sourcefiles/src/main/java/org/junit/runner/JUnitCore.java:65-68";"YELLOW";"default@1590680627101";
"Code Anomalies";"Bad practice";"Code Anomalies/Avoid leaving deprecated classes / methods / fields";"Method `errorReport` is marked as `@Deprecated`";"sourcefiles/src/main/java/org/junit/runner/Request.java:99-101";"YELLOW";"default@1590680627101";
"Code Anomalies";"Exception Handling";"Code Anomalies/Exception stacktrace is lost";"Exception stacktrace is lost";"sourcefiles/src/main/java/org/junit/runner/Request.java:78-78";"YELLOW";"default@1590680627101";
